Treatment	Dose	Username	Median Lifespan	Animals Tested	Replicate Populations	Median Lifespan (Control)	Animals Tested (Control)	Replicate Populations (Control)	% Change in Median Lifespan	Logrank	p-Value	Temp (C)
Z-Ligustilide	50uM	Contender	17.8	77	3	17.8	53	3	0	0.443	20
Xylose	50uM	Anonymous	19.9	101	6	15.8	113	6	25.9	< .001	20
xanthine	50uM	Ferdinando.randisi	17.8	50	3	17.8	53	3	0	0.419	20
VX-222 (VCH-222, Lomibuvir)	10uM	beng	14.9	53	3	17	34	3	-12.4	0.124	20
Venlafaxine	50uM	Anonymous	17	62	5	18.8	60	5	-9.6	0.589	20
Vanillin	50uM	LinusPetersson	19.9	37	2	17.8	53	3	11.8	0.017	20
Valsartan	50uM	Ryan Brashear MD	17.8	57	3	17.8	49	3	0	0.205	20
UTP, Trisodium Salt	50uM	Flatlander Woman	17	48	3	16.5	45	4	3	0.656	20
Torsemide	50uM	Anonymous	15.8	91	6	15.8	113	6	0	0.265	20
Thymidine	50uM	Singularity	18.8	58	3	17.8	53	3	5.6	0.012	20
Tetracaine HCl	10uM	Anonymous	13.1	89	4	13.1	71	4	0	0.27	20
Terazosin HCl	50uM	adssx	16	50	3	16.5	60	4	-3	0.29	20
Temsirolimus	10uM	Rapamycin Longevity Lab	17	49	3	17	60	3	0	0.501	20
Telmisattan	10uM	adssx	17	57	3	17	60	3	0	0.903	20
Taurine	50uM	Ray Melissa	16	35	3	14.9	43	3	7.4	0.166	20
Tadalafil	50uM	Anonymous	15.9	55	3	17.8	54	3	-10.7	0.797	20
Sulforaphane	50uM	Anonymous	20	113	6	14	88	6	42.9	< .001	20
Spermidine trihydrochloride	50uM	Carl Lumma	19.7	55	5	17.3	52	5	13.9	0.185	20
Sitagliptin	50uM	adssx	17.5	49	3	16.5	60	4	6.1	0.908	20
Scopolamine butylbromide	50uM	Max Unfried	15.9	69	3	17.8	53	3	-10.7	0.299	20
Rosuvastatin	50uM	RXB	18.3	40	3	17.8	54	3	2.8	0.987	20
Ridaforalimus	10uM	Rapamycin Longevity Lab	17	50	3	17	60	3	0	0.823	20
Resveratrol	50uM	The.Cole	18.8	60	3	17.8	54	3	5.6	0.761	20
Rapamycin (Sirolimus)	15uM	Mr Wormboto	17	74	3	17	60	3	0	0.795	20
Rapamycin (Sirolimus)	15uM	Brice	17	58	3	17	60	3	0	0.996	20
